game_time,game_mode,lobby_type,game_phase
2480,All Draft,Ranked,late_game
1715,All Draft,Ranked,late_game
1229,Single Draft,Public matchmaking,mid_game
23,All Draft,Ranked,early_game
1402,All Draft,Ranked,mid_game
610,All Draft,Ranked,early_game
529,All Draft,Ranked,early_game
325,Single Draft,Public matchmaking,early_game
759,All Draft,Ranked,early_game
162,All Draft,Ranked,early_game
1781,All Draft,Ranked,late_game
2213,Single Draft,Public matchmaking,late_game
1328,All Draft,Public matchmaking,mid_game
416,All Draft,Ranked,early_game
1186,All Draft,Ranked,mid_game
1187,Single Draft,Public matchmaking,mid_game
2178,All Draft,Ranked,late_game
758,Single Draft,Public matchmaking,early_game
311,All Draft,Ranked,early_game
1685,Single Draft,Public matchmaking,late_game
372,Random Draft,Ranked,early_game
1079,Single Draft,Public matchmaking,mid_game
126,All Draft,Ranked,early_game
653,All Draft,Ranked,early_game
1150,All Draft,Ranked,mid_game
1477,All Draft,Ranked,mid_game
1301,All Draft,Ranked,mid_game
914,All Draft,Ranked,mid_game
1433,All Draft,Public matchmaking,mid_game
405,Random Draft,Ranked,early_game
1186,Turbo Mode,Public matchmaking,mid_game
1813,Single Draft,Public matchmaking,late_game
475,Turbo Mode,Public matchmaking,early_game
463,Turbo Mode,Public matchmaking,early_game
732,All Draft,Ranked,early_game
649,Single Draft,Public matchmaking,early_game
1669,All Draft,Ranked,late_game
507,Single Draft,Public matchmaking,early_game
2113,All Draft,Ranked,late_game
557,All Draft,Ranked,early_game
1845,All Draft,Public matchmaking,late_game
76,Single Draft,Public matchmaking,early_game
34,Single Draft,Public matchmaking,early_game
861,All Draft,Ranked,mid_game
830,All Draft,Ranked,mid_game
1108,All Draft,Public matchmaking,mid_game
535,All Draft,Ranked,early_game
1547,All Draft,Ranked,mid_game
2371,All Draft,Ranked,late_game
704,All Draft,Ranked,early_game
1525,All Draft,Ranked,mid_game
1187,All Draft,Ranked,mid_game
721,All Draft,Ranked,early_game
948,All Draft,Ranked,mid_game
976,All Draft,Ranked,mid_game
1462,All Draft,Ranked,mid_game
1782,All Draft,Public matchmaking,late_game
287,Single Draft,Public matchmaking,early_game
1058,All Draft,Public matchmaking,mid_game
354,All Draft,Ranked,early_game
989,Turbo Mode,Public matchmaking,mid_game
82,All Draft,Ranked,early_game
367,All Draft,Ranked,early_game
657,All Draft,Ranked,early_game
1115,All Draft,Ranked,mid_game
1821,Single Draft,Public matchmaking,late_game
307,Single Draft,Public matchmaking,early_game
18,All Draft,Ranked,early_game
2675,All Draft,Ranked,late_game
2049,All Draft,Ranked,late_game
427,All Draft,Ranked,early_game
469,All Draft,Ranked,early_game
394,All Draft,Public matchmaking,early_game
1501,All Draft,Public matchmaking,mid_game
2123,All Draft,Ranked,late_game
995,All Draft,Ranked,mid_game
1582,All Draft,Public matchmaking,late_game
974,All Draft,Ranked,mid_game
1057,All Draft,Ranked,mid_game
217,All Draft,Ranked,early_game
1874,All Draft,Public matchmaking,late_game
1799,All Draft,Public matchmaking,late_game
492,All Draft,Ranked,early_game
839,All Draft,Ranked,mid_game
1339,All Draft,Ranked,mid_game
1152,Random Draft,Public matchmaking,mid_game
1129,All Draft,Ranked,mid_game
729,Single Draft,Public matchmaking,early_game
1120,All Draft,Ranked,mid_game
1479,All Draft,Public matchmaking,mid_game
2036,All Draft,Ranked,late_game
1459,All Draft,Public matchmaking,mid_game
1922,All Draft,Ranked,late_game
1285,All Draft,Ranked,mid_game
1986,All Draft,Ranked,late_game
493,Turbo Mode,Public matchmaking,early_game
794,All Draft,Ranked,mid_game
2336,All Draft,Public matchmaking,late_game
1609,Single Draft,Public matchmaking,late_game
583,All Draft,Ranked,early_game
2098,All Draft,Ranked,late_game
265,All Draft,Ranked,early_game
1790,All Draft,Ranked,late_game
940,Single Draft,Public matchmaking,mid_game
855,Turbo Mode,Public matchmaking,mid_game
712,All Draft,Ranked,early_game
1992,Single Draft,Public matchmaking,late_game
1426,All Draft,Ranked,mid_game
1343,Turbo Mode,Public matchmaking,mid_game
524,Random Draft,Ranked,early_game
394,All Draft,Ranked,early_game
1304,All Draft,Ranked,mid_game
2638,All Draft,Public matchmaking,late_game
169,Single Draft,Public matchmaking,early_game
1867,All Draft,Ranked,late_game
304,All Draft,Ranked,early_game
986,Captains Mode,Ranked,mid_game
1001,Random Draft,Ranked,mid_game
1860,All Draft,Public matchmaking,late_game
865,All Draft,Ranked,mid_game
669,Captains Mode,Ranked,early_game
939,All Draft,Ranked,mid_game
170,All Draft,Ranked,early_game
1976,All Draft,Ranked,late_game
1647,All Draft,Public matchmaking,late_game
998,All Draft,Public matchmaking,mid_game
388,All Draft,Ranked,early_game
2715,All Draft,Ranked,late_game
757,All Draft,Ranked,early_game
2474,All Draft,Ranked,late_game
210,All Draft,Ranked,early_game
997,All Draft,Public matchmaking,mid_game
1266,Single Draft,Public matchmaking,mid_game
2091,All Draft,Ranked,late_game
487,All Draft,Ranked,early_game
2911,All Draft,Ranked,late_game
127,All Draft,Ranked,early_game
1113,Single Draft,Public matchmaking,mid_game
938,All Draft,Ranked,mid_game
804,All Draft,Ranked,mid_game
242,All Draft,Ranked,early_game
816,All Draft,Ranked,mid_game
2106,All Draft,Ranked,late_game
2307,All Draft,Ranked,late_game
1920,All Draft,Public matchmaking,late_game
1727,All Draft,Ranked,late_game
190,All Draft,Public matchmaking,early_game
467,All Draft,Ranked,early_game
1904,All Draft,Ranked,late_game
1597,All Draft,Ranked,late_game
2095,All Draft,Ranked,late_game
45,All Draft,Ranked,early_game
787,All Draft,Ranked,mid_game
2462,All Draft,Ranked,late_game
1874,All Draft,Ranked,late_game
430,All Draft,Ranked,early_game
1714,All Draft,Ranked,late_game
553,Single Draft,Public matchmaking,early_game
969,All Draft,Ranked,mid_game
1399,All Draft,Ranked,mid_game
2071,All Draft,Ranked,late_game
194,Single Draft,Public matchmaking,early_game
538,All Draft,Ranked,early_game
978,All Draft,Ranked,mid_game
587,All Draft,Public matchmaking,early_game
171,All Draft,Public matchmaking,early_game
1168,All Draft,Public matchmaking,mid_game
712,All Draft,Public matchmaking,early_game
290,All Draft,Public matchmaking,early_game
562,All Draft,Ranked,early_game
2617,All Draft,Public matchmaking,late_game
1058,Turbo Mode,Public matchmaking,mid_game
1371,Single Draft,Public matchmaking,mid_game
992,All Draft,Public matchmaking,mid_game
497,Single Draft,Public matchmaking,early_game
994,Captains Mode,Ranked,mid_game
1008,All Draft,Ranked,mid_game
1713,All Draft,Ranked,late_game
210,Turbo Mode,Public matchmaking,early_game
175,All Draft,Ranked,early_game
3193,All Draft,Public matchmaking,late_game
201,All Draft,Ranked,early_game
1429,All Draft,Ranked,mid_game
880,All Draft,Ranked,mid_game
19,All Draft,Ranked,early_game
459,Turbo Mode,Public matchmaking,early_game
1110,All Draft,Ranked,mid_game
61,All Draft,Public matchmaking,early_game
3600,All Draft,Ranked,late_game
2557,All Draft,Ranked,late_game
2125,All Draft,Public matchmaking,late_game
1123,All Draft,Ranked,mid_game
444,All Draft,Ranked,early_game
594,All Draft,Public matchmaking,early_game
345,All Draft,Public matchmaking,early_game
797,All Draft,Ranked,mid_game
790,All Draft,Ranked,mid_game
1122,All Draft,Ranked,mid_game
1668,Turbo Mode,Public matchmaking,late_game
2803,All Draft,Ranked,late_game
1804,All Draft,Public matchmaking,late_game
1671,All Draft,Public matchmaking,late_game
436,All Draft,Ranked,early_game
455,All Draft,Public matchmaking,early_game
841,All Draft,Ranked,mid_game
1212,All Draft,Ranked,mid_game
1527,All Draft,Ranked,mid_game
1254,Turbo Mode,Public matchmaking,mid_game
1597,All Draft,Ranked,late_game
1585,All Draft,Ranked,late_game
2369,All Draft,Ranked,late_game
1885,All Draft,Ranked,late_game
1900,All Draft,Ranked,late_game
1268,All Draft,Ranked,mid_game
164,All Draft,Ranked,early_game
450,Turbo Mode,Public matchmaking,early_game
1841,Single Draft,Public matchmaking,late_game
883,All Draft,Ranked,mid_game
1045,All Draft,Ranked,mid_game
700,All Draft,Ranked,early_game
1237,All Draft,Ranked,mid_game
2553,All Draft,Ranked,late_game
566,All Draft,Ranked,early_game
312,All Draft,Public matchmaking,early_game
779,Random Draft,Ranked,early_game
1811,All Draft,Public matchmaking,late_game
1586,All Draft,Ranked,late_game
494,All Draft,Public matchmaking,early_game
85,All Draft,Ranked,early_game
284,All Draft,Ranked,early_game
2288,Single Draft,Public matchmaking,late_game
1260,All Draft,Ranked,mid_game
3591,All Draft,Ranked,late_game
2062,All Draft,Ranked,late_game
1742,Random Draft,Public matchmaking,late_game
1153,All Draft,Ranked,mid_game
896,Single Draft,Public matchmaking,mid_game
1537,All Draft,Public matchmaking,mid_game
1345,All Draft,Ranked,mid_game
1622,All Draft,Ranked,late_game
448,Single Draft,Public matchmaking,early_game
241,All Draft,Ranked,early_game
758,All Draft,Ranked,early_game
916,Turbo Mode,Public matchmaking,mid_game
826,Random Draft,Ranked,mid_game
318,Turbo Mode,Public matchmaking,early_game
2037,All Draft,Ranked,late_game
103,All Draft,Ranked,early_game
1155,All Draft,Ranked,mid_game
2261,All Draft,Ranked,late_game
328,All Draft,Ranked,early_game
2320,All Draft,Ranked,late_game
1277,All Draft,Ranked,mid_game
1432,All Draft,Ranked,mid_game
1199,Random Draft,Ranked,mid_game
1780,All Draft,Ranked,late_game
759,All Draft,Ranked,early_game
2584,All Draft,Ranked,late_game
980,All Draft,Ranked,mid_game
1913,All Draft,Ranked,late_game
247,All Draft,Public matchmaking,early_game
1446,All Draft,Ranked,mid_game
854,All Draft,Public matchmaking,mid_game
1227,All Draft,Ranked,mid_game
716,All Draft,Ranked,early_game
580,Captains Mode,Ranked,early_game
204,All Draft,Ranked,early_game
2124,All Draft,Ranked,late_game
159,All Draft,Ranked,early_game
1527,All Draft,Ranked,mid_game
19,All Draft,Public matchmaking,early_game
1549,All Draft,Ranked,mid_game
136,Turbo Mode,Public matchmaking,early_game
437,Captains Mode,Ranked,early_game
32,All Draft,Ranked,early_game
1228,All Draft,Ranked,mid_game
884,Single Draft,Public matchmaking,mid_game
47,Turbo Mode,Public matchmaking,early_game
1431,All Draft,Ranked,mid_game
1413,All Draft,Ranked,mid_game
458,All Draft,Ranked,early_game
1982,All Draft,Ranked,late_game
34,Single Draft,Public matchmaking,early_game
2268,All Draft,Ranked,late_game
317,All Draft,Ranked,early_game
1709,All Draft,Ranked,late_game
797,All Draft,Ranked,mid_game
2960,All Draft,Ranked,late_game
266,All Draft,Ranked,early_game
82,All Draft,Ranked,early_game
581,All Draft,Ranked,early_game
1256,All Draft,Ranked,mid_game
2384,Single Draft,Public matchmaking,late_game
2020,Single Draft,Public matchmaking,late_game
417,All Draft,Ranked,early_game
763,All Draft,Ranked,early_game
616,Single Draft,Public matchmaking,early_game
1015,All Draft,Ranked,mid_game
34,All Draft,Ranked,early_game
1665,All Draft,Ranked,late_game
1287,Single Draft,Public matchmaking,mid_game
909,All Draft,Ranked,mid_game
1422,All Draft,Public matchmaking,mid_game
555,Single Draft,Public matchmaking,early_game
1628,All Draft,Public matchmaking,late_game
898,Single Draft,Public matchmaking,mid_game
1425,All Draft,Ranked,mid_game
28,All Draft,Public matchmaking,early_game
154,Random Draft,Public matchmaking,early_game
1881,All Draft,Ranked,late_game
1348,All Draft,Public matchmaking,mid_game
629,All Draft,Ranked,early_game
1147,All Draft,Ranked,mid_game
2406,Captains Mode,Ranked,late_game
1768,All Draft,Ranked,late_game
2113,All Draft,Ranked,late_game
1908,All Draft,Public matchmaking,late_game
1548,All Draft,Ranked,mid_game
21,All Draft,Ranked,early_game
685,All Draft,Ranked,early_game
1546,All Draft,Public matchmaking,mid_game
569,Single Draft,Public matchmaking,early_game
755,All Draft,Public matchmaking,early_game
1666,All Draft,Public matchmaking,late_game
937,All Draft,Public matchmaking,mid_game
1523,All Draft,Ranked,mid_game
564,All Draft,Public matchmaking,early_game
1116,All Draft,Ranked,mid_game
1187,All Draft,Ranked,mid_game
819,Single Draft,Public matchmaking,mid_game
1630,All Draft,Public matchmaking,late_game
667,Turbo Mode,Public matchmaking,early_game
2572,All Draft,Ranked,late_game
1130,All Draft,Ranked,mid_game
1520,All Draft,Public matchmaking,mid_game
256,All Draft,Public matchmaking,early_game
1847,All Draft,Ranked,late_game
1241,All Draft,Ranked,mid_game
519,All Draft,Ranked,early_game
2023,All Draft,Public matchmaking,late_game
155,All Draft,Ranked,early_game
2107,Single Draft,Public matchmaking,late_game
256,All Draft,Ranked,early_game
567,All Draft,Ranked,early_game
2232,All Draft,Ranked,late_game
958,All Draft,Ranked,mid_game
443,All Draft,Ranked,early_game
2476,All Draft,Ranked,late_game
22,All Draft,Public matchmaking,early_game
46,Single Draft,Public matchmaking,early_game
1777,All Draft,Ranked,late_game
657,All Draft,Ranked,early_game
40,All Draft,Ranked,early_game
2115,All Draft,Ranked,late_game
401,Single Draft,Public matchmaking,early_game
476,All Draft,Ranked,early_game
753,All Draft,Ranked,early_game
1918,All Draft,Ranked,late_game
627,Turbo Mode,Public matchmaking,early_game
1390,Random Draft,Ranked,mid_game
1267,All Draft,Ranked,mid_game
1973,Single Draft,Public matchmaking,late_game
1809,All Draft,Ranked,late_game
793,All Draft,Public matchmaking,mid_game
299,Turbo Mode,Public matchmaking,early_game
683,All Draft,Ranked,early_game
404,All Draft,Ranked,early_game
1394,All Draft,Ranked,mid_game
324,Single Draft,Public matchmaking,early_game
1845,All Draft,Ranked,late_game
1108,All Draft,Ranked,mid_game
946,All Draft,Ranked,mid_game
532,All Draft,Public matchmaking,early_game
1515,All Draft,Ranked,mid_game
111,All Draft,Ranked,early_game
805,Single Draft,Public matchmaking,mid_game
1142,All Draft,Public matchmaking,mid_game
982,All Draft,Ranked,mid_game
377,All Draft,Ranked,early_game
672,Turbo Mode,Public matchmaking,early_game
2286,All Draft,Ranked,late_game
2181,All Draft,Ranked,late_game
1278,All Draft,Ranked,mid_game
2386,All Draft,Ranked,late_game
764,All Draft,Ranked,early_game
1060,All Draft,Ranked,mid_game
1386,All Draft,Ranked,mid_game
1884,All Draft,Ranked,late_game
385,Random Draft,Ranked,early_game
986,Turbo Mode,Public matchmaking,mid_game
2812,All Draft,Ranked,late_game
815,Random Draft,Public matchmaking,mid_game
2309,Captains Mode,Ranked,late_game
2519,All Draft,Ranked,late_game
472,All Draft,Ranked,early_game
1450,All Draft,Ranked,mid_game
2098,All Draft,Ranked,late_game
970,All Draft,Ranked,mid_game
1538,All Draft,Ranked,mid_game
848,Single Draft,Public matchmaking,mid_game
247,All Draft,Ranked,early_game
1393,All Draft,Ranked,mid_game
1926,Single Draft,Public matchmaking,late_game
50,All Draft,Ranked,early_game
1590,All Draft,Ranked,late_game
1595,All Draft,Public matchmaking,late_game
570,Turbo Mode,Public matchmaking,early_game
2589,Single Draft,Public matchmaking,late_game
115,All Draft,Ranked,early_game
264,All Draft,Ranked,early_game
1302,All Draft,Ranked,mid_game
81,All Draft,Ranked,early_game
2046,All Draft,Ranked,late_game
1266,All Draft,Ranked,mid_game
309,All Draft,Public matchmaking,early_game
1568,All Draft,Public matchmaking,late_game
2265,All Draft,Public matchmaking,late_game
1504,All Draft,Ranked,mid_game
792,All Draft,Ranked,mid_game
225,All Draft,Ranked,early_game
443,Turbo Mode,Public matchmaking,early_game
867,All Draft,Ranked,mid_game
1668,All Draft,Public matchmaking,late_game
317,All Draft,Ranked,early_game
1382,All Draft,Ranked,mid_game
374,All Draft,Ranked,early_game
3044,All Draft,Ranked,late_game
1426,All Draft,Ranked,mid_game
1293,All Draft,Ranked,mid_game
1933,Turbo Mode,Public matchmaking,late_game
1912,All Draft,Ranked,late_game
1464,Random Draft,Ranked,mid_game
2692,All Draft,Ranked,late_game
707,Turbo Mode,Public matchmaking,early_game
1449,All Draft,Ranked,mid_game
291,All Draft,Ranked,early_game
2040,All Draft,Public matchmaking,late_game
1091,All Draft,Public matchmaking,mid_game
469,All Draft,Ranked,early_game
1445,All Draft,Ranked,mid_game
684,Random Draft,Public matchmaking,early_game
1297,All Draft,Ranked,mid_game
640,All Draft,Public matchmaking,early_game
161,All Draft,Ranked,early_game
679,Turbo Mode,Public matchmaking,early_game
1048,All Draft,Ranked,mid_game
139,All Draft,Public matchmaking,early_game
29,All Draft,Public matchmaking,early_game
1834,All Draft,Ranked,late_game
1606,All Draft,Ranked,late_game
2233,All Draft,Ranked,late_game
29,All Draft,Ranked,early_game
1120,All Draft,Public matchmaking,mid_game
1516,All Draft,Ranked,mid_game
864,All Draft,Ranked,mid_game
158,All Draft,Ranked,early_game
428,All Draft,Ranked,early_game
1278,All Draft,Ranked,mid_game
479,All Draft,Ranked,early_game
1760,Turbo Mode,Public matchmaking,late_game
884,Turbo Mode,Public matchmaking,mid_game
183,All Draft,Ranked,early_game
1820,All Draft,Public matchmaking,late_game
80,All Draft,Ranked,early_game
1352,All Draft,Ranked,mid_game
2200,All Draft,Ranked,late_game
536,All Draft,Ranked,early_game
1998,All Draft,Public matchmaking,late_game
2182,All Draft,Ranked,late_game
887,Turbo Mode,Public matchmaking,mid_game
1835,All Draft,Ranked,late_game
830,All Draft,Ranked,mid_game
932,All Draft,Ranked,mid_game
323,All Draft,Ranked,early_game
61,All Draft,Ranked,early_game
1297,All Draft,Ranked,mid_game
995,All Draft,Ranked,mid_game
985,Random Draft,Public matchmaking,mid_game
349,Turbo Mode,Public matchmaking,early_game
896,All Draft,Public matchmaking,mid_game
1063,All Draft,Public matchmaking,mid_game
153,All Draft,Ranked,early_game
1929,All Draft,Ranked,late_game
1573,Single Draft,Public matchmaking,late_game
875,All Draft,Ranked,mid_game
1112,All Draft,Public matchmaking,mid_game
543,Single Draft,Public matchmaking,early_game
146,All Draft,Ranked,early_game
1330,Single Draft,Public matchmaking,mid_game
733,All Draft,Ranked,early_game
15,All Draft,Ranked,early_game
130,All Draft,Ranked,early_game
85,All Draft,Ranked,early_game
1201,All Draft,Ranked,mid_game
1904,All Draft,Ranked,late_game
2205,All Draft,Ranked,late_game
1048,All Draft,Ranked,mid_game
1831,All Draft,Public matchmaking,late_game
2870,Single Draft,Public matchmaking,late_game
885,Random Draft,Ranked,mid_game
729,All Draft,Public matchmaking,early_game
1658,All Draft,Ranked,late_game
1964,Single Draft,Public matchmaking,late_game
392,All Draft,Ranked,early_game
1181,All Draft,Ranked,mid_game
825,Turbo Mode,Public matchmaking,mid_game
1335,Random Draft,Public matchmaking,mid_game
2044,All Draft,Ranked,late_game
449,All Draft,Public matchmaking,early_game
419,Single Draft,Public matchmaking,early_game
967,All Draft,Ranked,mid_game
1749,All Draft,Ranked,late_game
29,Random Draft,Ranked,early_game
211,All Draft,Ranked,early_game
599,All Draft,Public matchmaking,early_game
1420,All Draft,Ranked,mid_game
1316,Single Draft,Public matchmaking,mid_game
1138,All Draft,Public matchmaking,mid_game
157,Turbo Mode,Public matchmaking,early_game
165,All Draft,Ranked,early_game
1116,All Draft,Ranked,mid_game
240,All Draft,Ranked,early_game
209,All Draft,Ranked,early_game
204,All Draft,Ranked,early_game
705,All Draft,Public matchmaking,early_game
1293,All Draft,Public matchmaking,mid_game
715,All Draft,Public matchmaking,early_game
906,Single Draft,Public matchmaking,mid_game
1137,All Draft,Ranked,mid_game
1608,All Draft,Ranked,late_game
1554,All Draft,Ranked,mid_game
893,All Draft,Ranked,mid_game
1672,All Draft,Ranked,late_game
884,Single Draft,Public matchmaking,mid_game
1759,All Draft,Public matchmaking,late_game
2092,All Draft,Public matchmaking,late_game
672,All Draft,Ranked,early_game
632,All Draft,Ranked,early_game
2394,Random Draft,Public matchmaking,late_game
1482,All Draft,Ranked,mid_game
1284,All Draft,Ranked,mid_game
2487,Single Draft,Public matchmaking,late_game
1912,All Draft,Public matchmaking,late_game
844,All Draft,Ranked,mid_game
304,All Draft,Ranked,early_game
434,All Draft,Ranked,early_game
1398,Single Draft,Public matchmaking,mid_game
3185,Random Draft,Public matchmaking,late_game
1242,All Draft,Public matchmaking,mid_game
1197,Random Draft,Public matchmaking,mid_game
969,All Draft,Ranked,mid_game
892,All Draft,Ranked,mid_game
1789,All Draft,Ranked,late_game
445,All Draft,Ranked,early_game
1117,All Draft,Ranked,mid_game
314,All Draft,Ranked,early_game
1247,All Draft,Ranked,mid_game
472,Turbo Mode,Public matchmaking,early_game
796,All Draft,Ranked,mid_game
1123,All Draft,Ranked,mid_game
2679,All Draft,Ranked,late_game
1314,All Draft,Ranked,mid_game
168,Turbo Mode,Public matchmaking,early_game
851,All Draft,Public matchmaking,mid_game
1474,All Draft,Ranked,mid_game
336,All Draft,Ranked,early_game
368,Single Draft,Public matchmaking,early_game
750,Single Draft,Public matchmaking,early_game
1653,Random Draft,Ranked,late_game
1407,All Draft,Ranked,mid_game
612,Turbo Mode,Public matchmaking,early_game
1303,Single Draft,Public matchmaking,mid_game
660,All Draft,Ranked,early_game
927,Turbo Mode,Public matchmaking,mid_game
1703,All Draft,Public matchmaking,late_game
509,Single Draft,Public matchmaking,early_game
1086,All Draft,Ranked,mid_game
1140,All Draft,Ranked,mid_game
1667,All Draft,Ranked,late_game
1041,All Draft,Ranked,mid_game
868,Turbo Mode,Public matchmaking,mid_game
842,All Draft,Public matchmaking,mid_game
801,Turbo Mode,Public matchmaking,mid_game
1509,All Draft,Public matchmaking,mid_game
375,All Draft,Public matchmaking,early_game
1314,Single Draft,Public matchmaking,mid_game
351,All Draft,Ranked,early_game
4177,Random Draft,Public matchmaking,late_game
1819,All Draft,Ranked,late_game
2320,All Draft,Ranked,late_game
1743,All Draft,Ranked,late_game
1419,All Draft,Ranked,mid_game
1113,All Draft,Ranked,mid_game
493,Single Draft,Public matchmaking,early_game
1727,All Draft,Ranked,late_game
356,All Draft,Public matchmaking,early_game
1471,All Draft,Public matchmaking,mid_game
336,All Draft,Public matchmaking,early_game
1572,All Draft,Ranked,late_game
2613,Single Draft,Public matchmaking,late_game
1065,Random Draft,Ranked,mid_game
2526,All Draft,Ranked,late_game
1051,All Draft,Public matchmaking,mid_game
1769,All Draft,Ranked,late_game
638,All Draft,Ranked,early_game
1450,All Draft,Ranked,mid_game
2528,All Draft,Ranked,late_game
230,Random Draft,Ranked,early_game
1377,Single Draft,Public matchmaking,mid_game
2012,All Draft,Ranked,late_game
1176,All Draft,Ranked,mid_game
1218,Random Draft,Public matchmaking,mid_game
2640,All Draft,Ranked,late_game
294,All Draft,Ranked,early_game
1842,All Draft,Public matchmaking,late_game
1639,All Draft,Public matchmaking,late_game
417,All Draft,Ranked,early_game
203,All Draft,Ranked,early_game
591,All Draft,Ranked,early_game
2461,All Draft,Ranked,late_game
2848,All Draft,Ranked,late_game
1431,All Draft,Ranked,mid_game
956,All Draft,Ranked,mid_game
136,All Draft,Ranked,early_game
421,Turbo Mode,Public matchmaking,early_game
1251,All Draft,Ranked,mid_game
945,All Draft,Ranked,mid_game
3270,All Draft,Ranked,late_game
810,All Draft,Ranked,mid_game
6,All Draft,Ranked,early_game
795,Single Draft,Public matchmaking,mid_game
992,All Draft,Public matchmaking,mid_game
1040,All Draft,Ranked,mid_game
1256,Turbo Mode,Public matchmaking,mid_game
56,Random Draft,Ranked,early_game
1635,All Draft,Public matchmaking,late_game
738,All Draft,Ranked,early_game
924,All Draft,Ranked,mid_game
1263,All Draft,Ranked,mid_game
1835,All Draft,Ranked,late_game
1872,All Draft,Public matchmaking,late_game
653,All Draft,Ranked,early_game
727,All Draft,Public matchmaking,early_game
1491,All Draft,Public matchmaking,mid_game
1143,All Draft,Ranked,mid_game
579,All Draft,Ranked,early_game
1722,All Draft,Ranked,late_game
1560,All Draft,Ranked,late_game
950,All Draft,Public matchmaking,mid_game
2459,All Draft,Public matchmaking,late_game
1229,Turbo Mode,Public matchmaking,mid_game
124,All Draft,Public matchmaking,early_game
1238,All Draft,Ranked,mid_game
383,All Draft,Ranked,early_game
606,All Draft,Ranked,early_game
1575,All Draft,Ranked,late_game
2071,All Draft,Ranked,late_game
1936,All Draft,Ranked,late_game
621,All Draft,Ranked,early_game
16,All Draft,Public matchmaking,early_game
1840,All Draft,Ranked,late_game
313,Random Draft,Ranked,early_game
2058,All Draft,Ranked,late_game
502,All Draft,Ranked,early_game
249,All Draft,Ranked,early_game
1675,All Draft,Ranked,late_game
1743,All Draft,Ranked,late_game
2785,All Draft,Ranked,late_game
293,All Draft,Ranked,early_game
909,All Draft,Ranked,mid_game
1596,All Draft,Public matchmaking,late_game
1494,Single Draft,Public matchmaking,mid_game
1659,All Draft,Ranked,late_game
1876,All Draft,Ranked,late_game
1470,All Draft,Ranked,mid_game
923,All Draft,Public matchmaking,mid_game
1350,All Draft,Public matchmaking,mid_game
1217,All Draft,Ranked,mid_game
2902,All Draft,Ranked,late_game
1454,All Draft,Ranked,mid_game
320,All Draft,Public matchmaking,early_game
779,Turbo Mode,Public matchmaking,early_game
1011,All Draft,Public matchmaking,mid_game
1582,All Draft,Ranked,late_game
1498,Random Draft,Ranked,mid_game
1136,All Draft,Ranked,mid_game
42,All Draft,Ranked,early_game
544,All Draft,Public matchmaking,early_game
273,Single Draft,Public matchmaking,early_game
1889,Random Draft,Ranked,late_game
18,All Draft,Ranked,early_game
677,All Draft,Ranked,early_game
587,All Draft,Ranked,early_game
288,All Draft,Ranked,early_game
907,All Draft,Ranked,mid_game
831,All Draft,Ranked,mid_game
51,Random Draft,Ranked,early_game
1178,All Draft,Ranked,mid_game
1662,All Draft,Ranked,late_game
541,All Draft,Ranked,early_game
1009,Single Draft,Public matchmaking,mid_game
402,All Draft,Ranked,early_game
266,All Draft,Ranked,early_game
1030,All Draft,Ranked,mid_game
1288,Random Draft,Ranked,mid_game
1383,All Draft,Ranked,mid_game
748,Single Draft,Public matchmaking,early_game
2415,All Draft,Ranked,late_game
1553,All Draft,Ranked,mid_game
94,All Draft,Public matchmaking,early_game
2418,All Draft,Ranked,late_game
2460,Single Draft,Public matchmaking,late_game
809,Single Draft,Public matchmaking,mid_game
1561,All Draft,Ranked,late_game
1547,All Draft,Ranked,mid_game
1270,All Draft,Public matchmaking,mid_game
891,Single Draft,Public matchmaking,mid_game
2218,All Draft,Public matchmaking,late_game
2020,All Draft,Ranked,late_game
421,All Draft,Ranked,early_game
852,All Draft,Public matchmaking,mid_game
1296,All Draft,Ranked,mid_game
1136,All Draft,Ranked,mid_game
1339,All Draft,Ranked,mid_game
1434,All Draft,Ranked,mid_game
423,All Draft,Public matchmaking,early_game
2005,All Draft,Ranked,late_game
1585,Turbo Mode,Public matchmaking,late_game
1919,All Draft,Public matchmaking,late_game
934,All Draft,Ranked,mid_game
506,Turbo Mode,Public matchmaking,early_game
271,All Draft,Ranked,early_game
237,All Draft,Ranked,early_game
430,All Draft,Ranked,early_game
1762,All Draft,Ranked,late_game
62,Turbo Mode,Public matchmaking,early_game
637,All Draft,Ranked,early_game
61,Single Draft,Public matchmaking,early_game
1577,All Draft,Public matchmaking,late_game
1746,All Draft,Public matchmaking,late_game
2185,All Draft,Ranked,late_game
437,All Draft,Ranked,early_game
524,Single Draft,Public matchmaking,early_game
972,All Draft,Ranked,mid_game
1336,All Draft,Ranked,mid_game
1615,All Draft,Ranked,late_game
777,Turbo Mode,Public matchmaking,early_game
986,All Draft,Ranked,mid_game
1508,All Draft,Ranked,mid_game
1596,All Draft,Ranked,late_game
1192,All Draft,Ranked,mid_game
194,All Draft,Ranked,early_game
713,All Draft,Ranked,early_game
2463,All Draft,Ranked,late_game
1235,Single Draft,Public matchmaking,mid_game
1496,All Draft,Ranked,mid_game
86,Single Draft,Public matchmaking,early_game
1704,All Draft,Ranked,late_game
867,All Draft,Ranked,mid_game
1795,All Draft,Ranked,late_game
491,All Draft,Public matchmaking,early_game
993,All Draft,Ranked,mid_game
1246,All Draft,Ranked,mid_game
1336,All Draft,Ranked,mid_game
1152,Turbo Mode,Public matchmaking,mid_game
